ts_ms,seq,buttons,x,y,gx,gy,gz
1045538213,0,0,-9,0,3892,-1240,-2521
1069131173,0,0,-5,0,4842,-3286,-2134
1092724133,0,0,-1,0,-4387,2573,65
1115661733,0,0,3,0,-2404,2964,1366
1139254693,0,0,7,0,-7101,3715,-1208
1162192293,0,0,11,0,6300,-4294,-2532
1185785253,0,0,15,0,7456,-5074,168
1208722853,0,0,19,0,-13061,9619,-4820
1232315813,0,0,23,0,-6044,4651,2720
1255253413,0,0,27,0,4570,-5228,2627
1278846373,0,0,31,0,1819,-507,-1035
1301783973,0,0,35,0,-10680,6726,888
1325376933,0,0,39,0,-5946,3071,2076
1348314533,0,0,43,0,232,-87,1501
1371907493,0,0,47,0,-188,1976,316
1394845093,0,0,51,0,3641,-919,564
1418438053,0,0,55,0,3392,-686,693
1441375653,0,0,59,0,-3016,537,-1626
1464968613,0,0,63,0,156,222,890
1487906213,0,0,67,0,696,1456,1661
1511499173,0,0,71,0,924,-342,-2548
1534436773,0,0,75,0,-669,-259,-2294
1558029733,0,0,79,0,-2660,2756,-1709
1580967333,0,0,83,0,-8634,5167,2341
1604560293,0,0,87,0,100,734,-21
1627497893,0,0,91,0,4764,-3068,-3179
1651090853,0,0,95,0,-3797,1764,-1254
1674028453,0,0,99,0,924,-1231,772
1697621413,0,0,103,0,-3996,2599,2059
1720559013,0,0,107,0,4355,-3660,2476
1744151973,0,0,111,0,-11105,9334,-2293
1767089573,0,0,115,0,412,515,4990
1790682533,0,0,119,0,-4942,2761,-3250
1814275493,0,0,123,0,-355,-555,1852
1837213093,0,0,127,0,-1892,2408,350
1860806053,0,0,-125,0,-4663,2223,-864
1883743653,0,0,-121,0,2916,-3513,-3212
1907336613,0,0,-117,0,5276,-4123,-2299
1930274213,0,0,-113,0,34,-128,-658
1953867173,0,0,-109,0,-4039,1477,-638
1976804773,0,0,-105,0,2972,-3080,1782
2000397733,0,0,-101,0,-868,1849,-757
2023335333,0,0,-97,0,1973,240,2051
2046928293,0,0,-93,0,4002,-1929,-729
2069865893,0,0,-89,0,-5589,3087,320
2093458853,0,0,-85,0,-3533,1378,-1210
2116396453,0,0,-81,0,2204,-2663,928
2139989413,0,0,-77,0,3526,-925,655
2162927013,0,0,-73,0,11843,-7545,7073
2186519973,0,0,-69,0,-1756,486,8
2209457573,0,0,-65,0,6366,-3840,-1558
2233050533,0,0,-61,0,-6640,4675,-1132
2255988133,0,0,-57,0,15360,-11841,1124
2279581093,0,0,-53,0,-11271,9077,-957
2302518693,0,0,-49,0,-12300,8528,196
2326111653,0,0,-45,0,9241,-6811,3100
2349049253,0,0,-41,0,2285,-1265,1135
2372642213,0,0,-37,0,13036,-8637,260
2401478053,0,0,-33,0,-2039,1550,-6834
2425071013,0,0,-29,0,247,-14,-7668
2448008613,0,0,-25,0,-7737,4565,-2105
2471601573,0,0,-21,0,50,130,2993
2494539173,0,0,-17,0,-694,-1287,1780
2518132133,0,0,-13,0,100,-99,1029
2541069733,0,0,-9,0,-1098,-744,-2070
2564662693,0,0,-5,0,2148,-1766,-6744
2587600293,0,0,-1,0,-5314,2492,937
2611193253,0,0,3,0,7992,-4800,245
2640029093,0,0,7,0,931,579,-1061
2663622053,0,0,11,0,1549,-947,248
2686559653,0,0,15,0,233,112,-45
2710152613,0,0,19,0,1774,-653,968
2733090213,0,0,23,0,356,-696,5218
2756683173,0,0,27,0,3528,-1014,-1005
2779620773,0,0,31,0,4,-97,604
2803213733,0,0,35,0,-2005,271,1392
2837947813,0,0,39,0,1293,-675,452
2860885413,0,0,43,0,260,-267,26
2884478373,0,0,47,0,2601,-781,191
2907415973,0,0,51,0,-3341,2855,-208
2931008933,0,0,55,0,-6500,5848,1098
2953946533,0,0,59,0,6996,-7552,5993
2977539493,0,0,63,0,7975,-5222,5649
3000477093,0,0,67,0,-13300,9311,-5635
3024070053,0,0,71,0,-4697,5284,-1870
3047663013,0,0,75,0,7324,-6227,2754
3070600613,0,0,79,0,-3779,1316,5842
3094193573,0,0,83,0,-156,-280,3891
3117131173,0,0,87,0,-2516,787,-441
3140724133,0,0,91,0,-8745,5659,-1786
3163661733,0,0,95,0,17407,-13634,2568
3187254693,0,0,99,0,15635,-10778,1996
3210192293,0,0,103,0,-9964,7606,-1960
3233785253,0,0,107,0,1972,-3624,-1981
3256722853,0,0,111,0,6556,-4715,3409
3280315813,0,0,115,0,-1892,2840,-899
3303253413,0,0,119,0,-100,848,-4520
3332089253,0,0,123,0,1124,-1920,3514
3355682213,0,0,127,0,1380,-1903,1388
3379275173,0,0,-125,0,5405,-3670,-57
3402212773,0,0,-121,0,3849,-2620,68
3425805733,0,0,-117,0,-20238,15130,-1838
3448743333,0,0,-113,0,-521,-37,510
3472336293,0,0,-109,0,15893,-10773,1195
3495273893,0,0,-105,0,-19208,14737,-975
3518866853,0,0,-101,0,2552,-1681,-120
3541804453,0,0,-97,0,2300,-1562,-724
3565397413,0,0,-93,0,-15353,11798,-364
3588335013,0,0,-89,0,23552,-18296,1163
3611927973,0,0,-85,0,764,150,-68
3634865573,0,0,-81,0,-15872,11484,-753
3658458533,0,0,-77,0,15374,-11139,151
3681396133,0,0,-73,0,9757,-6806,3080
3704989093,0,0,-69,0,4566,-1894,-1650
3727926693,0,0,-65,0,180,-318,-3422
3751519653,0,0,-61,0,-4825,3048,-5353
3774457253,0,0,-57,0,1380,-1989,-2125
3798050213,0,0,-53,0,8731,-6313,-2765
3820987813,0,0,-49,0,3917,-1155,-2694
3844580773,0,0,-45,0,-6703,3996,-6123
3867518373,0,0,-41,0,2716,-1146,-4655
3891111333,0,0,-37,0,8497,-5295,-3214
3914048933,0,0,-33,0,-668,615,2073
3937641893,0,0,-29,0,-3849,3076,-7727
3960579493,0,0,-25,0,2576,-1749,-4177
3984172453,0,0,-21,0,13152,-10574,-1464
4007110053,0,0,-17,0,4169,-1105,5093
4030703013,0,0,-13,0,-3876,2103,-8649
4054295973,0,0,-9,0,2460,-1752,-5085
4077233573,0,0,-5,0,8548,-5975,4181
4100826533,0,0,-1,0,-330,2347,-4534
4123764133,0,0,3,0,7442,-5510,-4266
4147357093,0,0,7,0,10140,-8020,3328
4170294693,0,0,11,0,5722,-2972,5677
4193887653,0,0,15,0,-1347,-1254,-5090
4216825253,0,0,19,0,612,-1254,-3750
4240418213,0,0,23,0,6994,-3787,7381
4263355813,0,0,27,0,5322,-2927,-5502
4286948773,0,0,31,0,768,-775,715
